id;code;account_entity_name;description;opening_balance;closing_balance;created_at
1;20597;reboot next-generation;Corners global Pants;68376;45627;2020-09-20T09:50:56
2;49543;Auto Loan Account Indiana;Towels withdrawal;49629;94772;2020-09-20T13:45:37
3;97143;Granite;Beauty global;64585;15680;2020-09-19T23:50:46
4;96249;Fantastic Bike Berkshire;Mouse transmitting Metal;15725;30523;2020-09-19T20:36:01
5;94418;matrix backing up Metal;mindshare Solutions;43910;45604;2020-09-19T19:27:26
6;95476;reboot Front-line;purple Landing Integration;52305;66755;2020-09-19T20:25:03
7;82686;zero administration;Latvian Lats Books calculating;86074;28860;2020-09-20T13:47:07
8;43551;Front-line virtual;deposit facilitate;9835;68068;2020-09-20T08:43:41
9;94920;Balboa US Dollar Industrial;intuitive benchmark Movies;49058;61839;2020-09-19T15:35:44
10;81587;interfaces Guatemala;SMTP web-enabled;38044;74238;2020-09-19T20:45:26
