id;trans_ammount;trans_date;trans_type;entry_date
1;38081;2020-09-19;CREDIT;2020-09-20T08:31:35
2;28693;2020-09-20;CREDIT;2020-09-19T16:59:29
3;79130;2020-09-19;DEBIT;2020-09-20T07:55:53
4;55545;2020-09-19;CREDIT;2020-09-20T04:33:56
5;70898;2020-09-20;CREDIT;2020-09-19T21:02:53
6;17009;2020-09-19;DEBIT;2020-09-20T05:03:42
7;11119;2020-09-19;DEBIT;2020-09-19T14:32:59
8;79939;2020-09-20;DEBIT;2020-09-19T15:19:51
9;83;2020-09-20;DEBIT;2020-09-20T04:52:33
10;86157;2020-09-19;CREDIT;2020-09-20T07:19:07
